Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,4.691347,4.769536,4.644433,4.675709,0.784582,345317
1962-01-03,4.652252,4.652252,4.613158,4.628796,0.776711,236606
1962-01-04,4.628796,4.667890,4.534969,4.574063,0.767526,294159
1962-01-05,4.574063,4.581882,4.378590,4.456780,0.747846,436442
1962-01-08,4.456780,4.456780,4.316039,4.448961,0.746534,495593
1962-01-09,4.448961,4.511512,4.417685,4.472417,0.750470,372494
1962-01-10,4.472417,4.519331,4.456780,4.495874,0.754406,313343
1962-01-11,4.495874,4.503693,4.417685,4.503693,0.755718,260586
1962-01-12,4.503693,4.511512,4.425504,4.441142,0.745222,270178
1962-01-15,4.448961,4.503693,4.448961,4.488055,0.753094,338922
1962-01-16,4.488055,4.542788,4.456780,4.527150,0.759654,222218
1962-01-17,4.519331,4.519331,4.394228,4.425504,0.742598,342119
1962-01-18,4.425504,4.472417,4.417685,4.472417,0.750470,236606
1962-01-19,4.472417,4.511512,4.472417,4.511512,0.757030,212626
1962-01-22,4.519331,4.581882,4.519331,4.527150,0.759654,227014
1962-01-23,4.511512,4.511512,4.425504,4.441142,0.745222,364501
1962-01-24,4.441142,4.542788,4.425504,4.527150,0.759654,255790
1962-01-25,4.527150,4.558425,4.448961,4.480236,0.751782,254191
1962-01-26,4.480236,4.488055,4.448961,4.464598,0.749158,161467
1962-01-29,4.464598,4.488055,4.456780,4.472417,0.750470,163066
1962-01-30,4.527150,4.597520,4.527150,4.550606,0.763590,284566
1962-01-31,4.550606,4.691347,4.542788,4.691347,0.787206,300553
1962-02-01,4.691347,4.714804,4.613158,4.660071,0.781958,410863
1962-02-02,4.660071,4.683528,4.628796,4.683528,0.785894,236606
1962-02-05,4.675709,4.675709,4.597520,4.597520,0.771462,225415
1962-02-06,4.613158,4.660071,4.613158,4.644433,0.779334,166264
1962-02-07,4.644433,4.691347,4.628796,4.691347,0.787206,270178
1962-02-08,4.691347,4.722623,4.683528,4.722623,0.792454,281369
1962-02-09,4.722623,4.722623,4.636615,4.699166,0.788518,241402
1962-02-12,4.699166,4.714804,4.675709,4.699166,0.788518,131092
1962-02-13,4.706985,4.753898,4.706985,4.753898,0.797702,193441
1962-02-14,4.753898,4.808631,4.746079,4.792993,0.804262,258987
1962-02-15,4.800812,4.879001,4.800812,4.863363,0.816070,298955
1962-02-16,4.863363,4.871182,4.792993,4.832087,0.810822,374093
1962-02-19,4.832087,4.855544,4.769536,4.792993,0.804262,249395
1962-02-20,4.792993,4.792993,4.722623,4.785174,0.802950,171060
1962-02-21,4.785174,4.808631,4.738260,4.769536,0.800326,172658
1962-02-23,4.769536,4.777355,4.714804,4.722623,0.792454,260586
1962-02-26,4.722623,4.738260,4.620977,4.660071,0.781958,201435
1962-02-27,4.660071,4.691347,4.652252,4.691347,0.787206,148678
1962-02-28,4.691347,4.706985,4.652252,4.667890,0.783270,265382
1962-03-01,4.691347,4.753898,4.691347,4.753898,0.797702,145481
1962-03-02,4.761717,4.816449,4.761717,4.785174,0.802950,201435
1962-03-05,4.792993,4.832087,4.792993,4.792993,0.804262,222218
1962-03-06,4.792993,4.800812,4.706985,4.722623,0.792454,150277
1962-03-07,4.722623,4.777355,4.722623,4.753898,0.797702,161467
1962-03-08,4.753898,4.839906,4.738260,4.824268,0.809511,282968
1962-03-09,4.847725,4.902458,4.847725,4.894639,0.821318,316540
1962-03-12,4.894639,4.910276,4.879001,4.902458,0.822631,337323
1962-03-13,4.902458,4.902458,4.847725,4.879001,0.823951,206231
1962-03-14,4.879001,4.886820,4.824268,4.855544,0.819990,174257
1962-03-15,4.855544,4.910276,4.832087,4.871182,0.822631,302152
1962-03-16,4.879001,4.910276,4.879001,4.902458,0.827912,166264
1962-03-19,4.902458,4.902458,4.847725,4.847725,0.818669,177454
1962-03-20,4.847725,4.863363,4.832087,4.847725,0.818669,135888
1962-03-21,4.847725,4.863363,4.832087,4.839906,0.817349,257389
1962-03-22,4.839906,4.855544,4.816449,4.816449,0.813387,163066
1962-03-23,4.824268,4.879001,4.824268,4.879001,0.823951,204632
1962-03-26,4.871182,4.871182,4.800812,4.800812,0.810747,185448
1962-03-27,4.800812,4.839906,4.785174,4.839906,0.817349,199836
1962-03-28,4.847725,4.902458,4.847725,4.871182,0.822631,212626
1962-03-29,4.871182,4.910276,4.839906,4.863363,0.821310,187046
1962-03-30,4.863363,4.871182,4.777355,4.808631,0.812068,235007
1962-04-02,4.800812,4.800812,4.769536,4.785174,0.808106,182250
1962-04-03,4.785174,4.785174,4.699166,4.730441,0.798863,271777
1962-04-04,4.730441,4.777355,4.722623,4.738260,0.800183,219020
1962-04-05,4.738260,4.777355,4.699166,4.777355,0.806785,282968
1962-04-06,4.777355,4.800812,4.738260,4.746079,0.801504,225415
1962-04-09,4.746079,4.761717,4.730441,4.738260,0.800183,190244
1962-04-10,4.730441,4.730441,4.667890,4.667890,0.788299,228612
1962-04-11,4.667890,4.714804,4.558425,4.581882,0.773774,201435
1962-04-12,4.581882,4.605339,4.542788,4.558425,0.769813,230211
1962-04-13,4.566244,4.730441,4.566244,4.675709,0.789620,273376
1962-04-16,4.675709,4.683528,4.597520,4.636615,0.783017,243001
1962-04-17,4.636615,4.660071,4.628796,4.644433,0.784339,230211
1962-04-18,4.644433,4.660071,4.597520,4.628796,0.781697,564337
1962-04-19,4.628796,4.652252,4.620977,4.636615,0.783017,163066
1962-04-23,4.636615,4.652252,4.613158,4.613158,0.779056,276573
1962-04-24,4.613158,4.620977,4.581882,4.581882,0.773774,356507
1962-04-25,4.581882,4.605339,4.519331,4.519331,0.763211,353310
1962-04-26,4.519331,4.574063,4.503693,4.519331,0.763211,230211
1962-04-27,4.519331,4.589701,4.409866,4.441142,0.750006,342119
1962-04-30,4.441142,4.472417,4.222212,4.284764,0.723598,442837
1962-05-01,4.284764,4.409866,4.222212,4.386409,0.740764,509981
1962-05-02,4.394228,4.480236,4.394228,4.425504,0.747366,465218
1962-05-03,4.448961,4.503693,4.448961,4.503693,0.760570,498791
1962-05-04,4.503693,4.519331,4.448961,4.488055,0.757929,316540
1962-05-07,4.488055,4.495874,4.417685,4.441142,0.750006,334126
1962-05-08,4.441142,4.441142,4.402047,4.433323,0.748686,247797
1962-05-09,4.433323,4.441142,4.394228,4.425504,0.747366,350113
1962-05-10,4.425504,4.456780,4.355134,4.386409,0.740764,423652
1962-05-11,4.386409,4.441142,4.316039,4.331677,0.731520,620291
1962-05-14,4.331677,4.402047,4.276945,4.402047,0.743405,484402
1962-05-15,4.402047,4.456780,4.402047,4.425504,0.747366,420455
1962-05-16,4.425504,4.441142,4.409866,4.433323,0.748686,278172
1962-05-17,4.433323,4.464598,4.409866,4.433323,0.748686,129494
1962-05-18,4.448961,4.495874,4.448961,4.495874,0.759250,300553
1962-05-21,4.495874,4.495874,4.456780,4.456780,0.752648,222218
1962-05-22,4.456780,4.464598,4.347315,4.347315,0.734162,270178
1962-05-23,4.316039,4.316039,4.237850,4.261307,0.719637,353310
1962-05-24,4.261307,4.308220,4.190937,4.206574,0.710393,455626
1962-05-25,4.206574,4.206574,4.073653,4.120566,0.695869,407665
1962-05-28,4.104929,4.104929,3.885999,3.909456,0.660217,677844
1962-05-29,3.909456,4.120566,3.753078,4.073653,0.687946,1248575
1962-05-31,4.089291,4.190937,4.089291,4.112747,0.694548,695429
1962-06-01,4.112747,4.151842,4.065834,4.128385,0.697189,438041
1962-06-04,4.120566,4.120566,3.940731,3.940731,0.665499,322935
1962-06-05,3.940731,4.065834,3.909456,3.964188,0.669460,508383
1962-06-06,4.011102,4.128385,4.011102,4.011102,0.677383,351711
1962-06-07,4.026739,4.089291,4.026739,4.026739,0.680024,169461
1962-06-08,4.042377,4.120566,4.042377,4.065834,0.686626,214224
1962-06-11,4.065834,4.104929,4.026739,4.058015,0.685305,188645
1962-06-12,4.011102,4.011102,3.823448,3.839086,0.653369,438041
1962-06-13,3.839086,3.932912,3.815629,3.831267,0.652039,444435
1962-06-14,3.831267,3.909456,3.799991,3.807810,0.648046,92724
1962-06-15,3.807810,3.925094,3.753078,3.925094,0.668007,561139
1962-06-18,3.917275,3.917275,3.815629,3.862542,0.657361,359705
1962-06-19,3.862542,3.870361,3.807810,3.839086,0.653369,204632
1962-06-20,3.823448,3.823448,3.753078,3.753078,0.638732,393277
1962-06-21,3.753078,3.753078,3.627975,3.627975,0.617440,487600
1962-06-22,3.612337,3.612337,3.463778,3.471597,0.590827,532363
1962-06-25,3.471597,3.534148,3.393408,3.502872,0.596149,740193
1962-06-26,3.502872,3.541967,3.471597,3.471597,0.590827,541955
1962-06-27,3.471597,3.526329,3.448140,3.526329,0.600141,284566
1962-06-28,3.588880,3.698345,3.588880,3.674888,0.625424,420455
1962-06-29,3.698345,3.776534,3.698345,3.721802,0.633408,351711
1962-07-02,3.721802,3.979826,3.698345,3.932912,0.669337,316540
1962-07-03,3.932912,3.987645,3.878180,3.932912,0.669337,509981
1962-07-05,3.932912,4.018921,3.932912,4.018921,0.683975,281369
1962-07-06,3.979826,3.979826,3.878180,3.932912,0.669337,249395
1962-07-09,3.932912,3.995464,3.862542,3.964188,0.674660,278172
1962-07-10,3.964188,4.081472,3.956369,3.979826,0.677321,470014
1962-07-11,3.979826,4.018921,3.925094,4.003283,0.681314,231810
1962-07-12,4.034558,4.104929,4.034558,4.058015,0.690628,391679
1962-07-13,4.050196,4.050196,3.956369,4.026739,0.685305,310145
1962-07-16,4.018921,4.018921,3.964188,4.018921,0.683975,158270
1962-07-17,4.003283,4.003283,3.901637,3.901637,0.664015,209428
1962-07-18,3.878180,3.878180,3.823448,3.846904,0.654699,249395
1962-07-19,3.846904,3.948550,3.839086,3.909456,0.665345,241402
1962-07-20,3.909456,3.979826,3.901637,3.925094,0.668007,161467
1962-07-23,3.932912,3.987645,3.932912,3.979826,0.677321,155073
1962-07-24,3.979826,3.995464,3.925094,3.925094,0.668007,158270
1962-07-25,3.925094,3.925094,3.831267,3.909456,0.665345,147079
1962-07-26,3.909456,3.987645,3.909456,3.987645,0.678652,199836
1962-07-27,3.987645,4.026739,3.948550,3.979826,0.677321,233408
1962-07-30,3.979826,4.050196,3.979826,4.050196,0.689297,169461
1962-07-31,4.065834,4.167480,4.065834,4.151842,0.706596,458823
1962-08-01,4.151842,4.159661,4.112747,4.128385,0.702604,228612
1962-08-02,4.128385,4.159661,4.128385,4.159661,0.707927,188645
1962-08-03,4.159661,4.190937,4.151842,4.190937,0.713250,246198
1962-08-06,4.183118,4.183118,4.104929,4.112747,0.699943,246198
1962-08-07,4.112747,4.120566,4.081472,4.104929,0.698612,255790
1962-08-08,4.104929,4.104929,4.026739,4.104929,0.698612,166264
1962-08-09,4.104929,4.144023,4.089291,4.112747,0.699943,190244
1962-08-10,4.112747,4.167480,4.104929,4.151842,0.706596,247797
1962-08-13,4.151842,4.151842,4.097110,4.112747,0.699943,195040
1962-08-14,4.128385,4.222212,4.128385,4.222212,0.718572,348514
1962-08-15,4.222212,4.237850,4.190937,4.206574,0.715911,241402
1962-08-16,4.206574,4.245669,4.206574,4.222212,0.718572,217422
1962-08-17,4.230031,4.276945,4.230031,4.261307,0.725226,233408
1962-08-20,4.261307,4.323858,4.237850,4.253488,0.723896,247797
1962-08-21,4.253488,4.308220,4.237850,4.253488,0.723896,187046
1962-08-22,4.269126,4.347315,4.269126,4.347315,0.739864,238205
1962-08-23,4.347315,4.370772,4.323858,4.331677,0.737202,231810
1962-08-24,4.331677,4.339496,4.222212,4.253488,0.723896,327731
1962-08-27,4.253488,4.292582,4.198755,4.198755,0.714580,201435
1962-08-28,4.206574,4.261307,4.206574,4.230031,0.719903,262185
1962-08-29,4.230031,4.237850,4.190937,4.222212,0.718572,166264
1962-08-30,4.230031,4.269126,4.230031,4.237850,0.721234,198237
1962-08-31,4.237850,4.284764,4.237850,4.284764,0.729219,131092
1962-09-04,4.284764,4.292582,4.167480,4.167480,0.709259,167862
1962-09-05,4.167480,4.175299,4.073653,4.089291,0.695951,271777
1962-09-06,4.089291,4.144023,4.042377,4.089291,0.695951,298955
1962-09-07,4.089291,4.183118,4.089291,4.175299,0.710589,273376
1962-09-10,4.175299,4.237850,4.120566,4.230031,0.719903,161467
1962-09-11,4.230031,4.245669,4.183118,4.183118,0.711920,212626
1962-09-12,4.183118,4.230031,4.175299,4.230031,0.719903,97520
1962-09-13,4.230031,4.284764,4.183118,4.190937,0.713250,279770
1962-09-14,4.190937,4.253488,4.190937,4.230031,0.719903,126296
1962-09-17,4.230031,4.284764,4.230031,4.261307,0.725226,131092
1962-09-18,4.261307,4.292582,4.222212,4.253488,0.729248,238205
1962-09-19,4.253488,4.261307,4.175299,4.245669,0.727907,219020
1962-09-20,4.245669,4.245669,4.151842,4.183118,0.717183,193441
1962-09-21,4.175299,4.175299,4.089291,4.097110,0.702437,290961
1962-09-24,4.081472,4.081472,4.011102,4.050196,0.694394,332527
1962-09-25,4.050196,4.073653,3.948550,4.065834,0.697075,286165
1962-09-26,4.058015,4.058015,3.948550,3.972007,0.680989,263784
1962-09-27,3.964188,3.964188,3.885999,3.893818,0.667584,247797
1962-09-28,3.893818,3.995464,3.878180,3.995464,0.685011,279770
1962-10-01,3.995464,3.995464,3.940731,3.979826,0.682330,190244
1962-10-02,3.979826,4.058015,3.972007,4.058015,0.695735,139086
1962-10-03,4.058015,4.081472,4.034558,4.034558,0.691713,175856
1962-10-04,4.034558,4.128385,3.972007,4.128385,0.707799,263784
1962-10-05,4.144023,4.222212,4.144023,4.198755,0.719864,203033
1962-10-08,4.206574,4.261307,4.206574,4.222212,0.723886,206231
1962-10-09,4.222212,4.237850,4.190937,4.237850,0.726567,191843
1962-10-10,4.237850,4.253488,4.167480,4.183118,0.717183,169461
1962-10-11,4.159661,4.159661,4.112747,4.136204,0.709140,215823
1962-10-12,4.136204,4.136204,4.097110,4.120566,0.706459,107112
1962-10-15,4.120566,4.206574,4.104929,4.206574,0.721204,180652
1962-10-16,4.206574,4.237850,4.206574,4.206574,0.721204,203033
1962-10-17,4.190937,4.190937,4.144023,4.183118,0.717183,246198
1962-10-18,4.183118,4.183118,4.159661,4.167480,0.714502,199836
1962-10-19,4.167480,4.183118,4.065834,4.089291,0.701097,442837
1962-10-22,4.089291,4.089291,4.026739,4.050196,0.694394,370896
1962-10-23,4.050196,4.112747,3.995464,4.011102,0.687692,372494
1962-10-24,4.011102,4.222212,3.972007,4.190937,0.718524,418856
1962-10-25,4.159661,4.159661,4.073653,4.128385,0.707799,334126
1962-10-26,4.128385,4.183118,4.120566,4.183118,0.717183,211027
1962-10-29,4.198755,4.269126,4.198755,4.198755,0.719864,286165
1962-10-30,4.198755,4.284764,4.198755,4.276945,0.733270,308547
1962-10-31,4.276945,4.276945,4.206574,4.237850,0.726567,252593
1962-11-01,4.237850,4.292582,4.198755,4.269126,0.731929,278172
1962-11-02,4.269126,4.355134,4.222212,4.347315,0.745334,454027
1962-11-05,4.347315,4.378590,4.331677,4.355134,0.746675,393277
1962-11-07,4.355134,4.386409,4.269126,4.362953,0.748015,412462
1962-11-08,4.362953,4.402047,4.331677,4.355134,0.746675,302152
1962-11-09,4.355134,4.355134,4.355134,4.355134,0.746675,0
1962-11-12,4.472417,4.503693,4.472417,4.503693,0.772145,356507
1962-11-13,4.503693,4.511512,4.472417,4.495874,0.770804,254191
1962-11-14,4.495874,4.534969,4.464598,4.527150,0.776167,442837
1962-11-15,4.527150,4.542788,4.503693,4.527150,0.776167,300553
1962-11-16,4.527150,4.550606,4.464598,4.550606,0.780188,337323
1962-11-19,4.527150,4.527150,4.488055,4.511512,0.773485,228612
1962-11-20,4.511512,4.558425,4.511512,4.558425,0.781528,244599
1962-11-21,4.558425,4.620977,4.542788,4.613158,0.790912,131092
1962-11-23,4.620977,4.722623,4.620977,4.706985,0.806999,517975
1962-11-26,4.706985,4.714804,4.589701,4.660071,0.798955,351711
1962-11-27,4.660071,4.675709,4.620977,4.660071,0.798955,191843
1962-11-28,4.660071,4.691347,4.660071,4.675709,0.801636,310145
1962-11-29,4.675709,4.683528,4.652252,4.683528,0.802977,231810
1962-11-30,4.683528,4.691347,4.667890,4.675709,0.801636,164665
1962-12-03,4.675709,4.675709,4.636615,4.667890,0.800295,227014
