Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,0.000000,4.070313,4.023438,4.046875,0.907896,456000
1972-06-02,4.054688,4.093750,4.054688,4.093750,0.918412,640000
1972-06-05,4.085938,4.085938,4.023438,4.039063,0.906143,464000
1972-06-06,4.039063,4.039063,4.000000,4.000000,0.897380,796800
1972-06-07,4.000000,4.054688,3.992188,4.046875,0.907896,584000
1972-06-08,4.046875,4.062500,3.992188,4.000000,0.897380,726400
1972-06-09,4.007813,4.054688,4.007813,4.046875,0.907896,296000
1972-06-12,4.046875,4.078125,4.015625,4.039063,0.906143,473600
1972-06-13,4.046875,4.093750,4.046875,4.078125,0.914906,478400
1972-06-14,4.093750,4.179688,4.093750,4.164063,0.934186,795200
1972-06-15,4.187500,4.234375,4.187500,4.187500,0.939444,836800
1972-06-16,4.187500,4.195313,4.125000,4.140625,0.928928,267200
1972-06-19,4.140625,4.164063,4.062500,4.109375,0.921917,1001600
1972-06-20,4.125000,4.164063,4.125000,4.164063,0.934186,345600
1972-06-21,4.164063,4.179688,4.117188,4.125000,0.925422,556800
1972-06-22,4.125000,4.164063,4.109375,4.156250,0.932433,321600
1972-06-23,4.156250,4.179688,4.156250,4.171875,0.935938,212800
1972-06-26,4.171875,4.218750,4.132813,4.218750,0.946455,278400
1972-06-27,4.218750,4.242188,4.171875,4.195313,0.941196,268800
1972-06-28,4.179688,4.179688,4.109375,4.125000,0.925422,433600
1972-06-29,4.125000,4.148438,4.101563,4.101563,0.920165,313600
1972-06-30,4.109375,4.171875,4.109375,4.156250,0.932433,404800
1972-07-03,4.156250,4.210938,4.148438,4.203125,0.942949,240000
1972-07-05,4.234375,4.281250,4.234375,4.250000,0.953466,734400
1972-07-06,4.304688,4.351563,4.304688,4.328125,0.970993,809600
1972-07-07,4.335938,4.429688,4.335938,4.429688,0.993778,595200
1972-07-10,4.429688,4.437500,4.375000,4.382813,0.983261,316800
1972-07-11,4.382813,4.429688,4.382813,4.398438,0.986767,232000
1972-07-12,4.406250,4.476563,4.406250,4.437500,0.995530,1132800
1972-07-13,4.437500,4.484375,4.390625,4.437500,0.995530,790400
1972-07-14,4.445313,4.531250,4.445313,4.515625,1.013057,950400
1972-07-17,4.515625,4.515625,4.437500,4.437500,0.995530,187200
1972-07-18,4.414063,4.414063,4.390625,4.406250,0.988519,385600
1972-07-19,4.406250,4.515625,4.406250,4.453125,0.999036,636800
1972-07-20,4.453125,4.500000,4.453125,4.500000,1.009552,326400
1972-07-21,4.515625,4.570313,4.515625,4.570313,1.025327,340800
1972-07-24,4.570313,4.703125,4.562500,4.648438,1.042853,811200
1972-07-25,4.648438,4.695313,4.609375,4.609375,1.034089,312000
1972-07-26,4.687500,4.742188,4.687500,4.726563,1.060380,816000
1972-07-27,4.726563,4.757813,4.687500,4.726563,1.060380,422400
1972-07-28,4.726563,4.734375,4.718750,4.718750,1.058627,208000
1972-07-31,4.703125,4.703125,4.656250,4.664063,1.046358,174400
1972-08-01,4.664063,4.718750,4.656250,4.718750,1.058627,368000
