Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,3.010041,3.052066,3.010041,3.015294,1.051350,1165973
1980-01-03,2.994281,2.994281,2.947003,2.973269,1.036697,1453896
1980-01-04,2.978522,3.025800,2.978522,3.025800,1.055014,1382510
1980-01-07,3.025800,3.052066,3.010041,3.010041,1.049519,1087448
1980-01-08,3.010041,3.036306,2.899725,2.899725,1.011055,1213563
1980-01-09,2.899725,2.931244,2.815675,2.878713,1.003729,9965497
1980-01-10,2.878713,2.883966,2.857700,2.857700,0.996402,5922665
1980-01-11,2.857700,2.873459,2.847194,2.862953,0.998233,5394408
1980-01-14,2.862953,2.931244,2.862953,2.920738,1.018382,4000000
1980-01-15,2.941750,3.015294,2.941750,3.015294,1.051350,1886972
1980-01-16,3.025800,3.062572,3.025800,3.041559,1.060509,5077930
1980-01-17,3.041559,3.052066,3.025800,3.041559,1.060509,1208804
1980-01-18,3.041559,3.099344,3.041559,3.083584,1.075161,1123141
1980-01-21,3.115103,3.167634,3.115103,3.167634,1.104467,1487210
1980-01-22,3.167634,3.225419,3.157128,3.183394,1.109962,1380131
1980-01-23,3.183394,3.204406,3.162381,3.178141,1.108131,899465
1980-01-24,3.293709,3.340988,3.293709,3.298963,1.150258,2329566
1980-01-25,3.288456,3.288456,3.246431,3.272697,1.141100,863772
1980-01-28,3.272697,3.314722,3.256938,3.288456,1.146594,1727543
1980-01-29,3.288456,3.335734,3.288456,3.288456,1.146594,949435
1980-01-30,3.288456,3.298963,3.277950,3.288456,1.146594,701963
1980-01-31,3.288456,3.335734,3.256938,3.256938,1.135605,987507
1980-02-01,3.256938,3.293709,3.256938,3.293709,1.148427,623438
1980-02-04,3.293709,3.319975,2.968016,3.288456,1.146594,759072
1980-02-05,3.309469,3.456556,3.309469,3.456556,1.205206,1955979
1980-02-06,3.519594,3.761238,3.519594,3.635163,1.267482,3205235
1980-02-07,3.635163,3.897819,3.635163,3.866300,1.348073,8009518
1980-02-08,3.866300,4.044906,3.740225,4.034400,1.406684,3726353
1980-02-11,4.034400,4.118450,3.950350,3.966109,1.382874,4266508
1980-02-12,3.960856,3.960856,3.855794,3.939844,1.373716,3612136
1980-02-13,3.939844,3.960856,3.897819,3.950350,1.377378,2558001
1980-02-14,3.945097,3.945097,3.761238,3.803263,1.326093,2776919
1980-02-15,3.803263,3.861047,3.761238,3.855794,1.344410,3792980
1980-02-19,3.855794,3.924084,3.850541,3.924084,1.368220,3395598
1980-02-20,3.924084,3.981869,3.913578,3.981869,1.388369,1641880
1980-02-21,3.981869,4.107944,3.966109,4.044906,1.410347,2108269
1980-02-22,4.044906,4.244525,3.981869,4.149969,1.446980,3788221
1980-02-25,4.149969,4.186741,4.023894,4.034400,1.406684,1284949
1980-02-26,4.034400,4.097438,4.002881,4.081678,1.423169,1701368
1980-02-27,4.081678,4.128956,3.934591,3.971363,1.384706,1665675
1980-02-28,3.971363,4.039653,3.897819,3.918831,1.366389,2041642
1980-02-29,3.929338,4.023894,3.929338,3.960856,1.381042,1901249
1980-03-03,3.960856,3.987122,3.929338,3.929338,1.370052,1408685
1980-03-04,3.929338,3.960856,3.913578,3.960856,1.381042,1513385
1980-03-05,3.960856,4.029147,3.939844,3.950350,1.377378,1308745
1980-03-06,3.939844,3.939844,3.813769,3.819022,1.341578,1779893
1980-03-07,3.813769,3.813769,3.677188,3.708706,1.302826,2258180
1980-03-10,3.708706,3.729719,3.629909,3.677188,1.291755,1758477
1980-03-11,3.677188,3.687694,3.535353,3.582631,1.258538,2493754
1980-03-12,3.582631,3.603644,3.551113,3.603644,1.265919,1891731
1980-03-13,3.603644,3.635163,3.572125,3.603644,1.265919,920880
1980-03-14,3.593138,3.593138,3.545859,3.551113,1.247465,1401547
1980-03-17,3.551113,3.551113,3.383013,3.393519,1.192104,1146936
1980-03-18,3.393519,3.425038,3.346241,3.425038,1.203178,1613325
1980-03-19,3.467063,3.614150,3.467063,3.545859,1.245619,2260559
1980-03-20,3.545859,3.556366,3.435544,3.482822,1.223475,2629387
1980-03-21,3.456556,3.456556,3.419784,3.425038,1.203178,1180250
1980-03-24,3.425038,3.435544,3.325228,3.346241,1.175496,2419988
1980-03-25,3.346241,3.414531,3.319975,3.393519,1.192104,1932183
1980-03-26,3.393519,3.430291,3.377759,3.377759,1.186568,797145
1980-03-27,3.377759,3.404025,3.277950,3.351494,1.177342,1656157
1980-03-28,3.351494,3.472316,3.351494,3.446050,1.210558,1213563
1980-03-31,3.477569,3.545859,3.477569,3.524847,1.238239,920880
1980-04-01,3.514341,3.514341,3.435544,3.467063,1.217940,2017847
1980-04-02,3.467063,3.530100,3.456556,3.477569,1.221630,1323022
1980-04-03,3.477569,3.482822,3.383013,3.425038,1.203178,1353956
1980-04-07,3.414531,3.414531,3.340988,3.351494,1.177342,1149316
1980-04-08,3.351494,3.372506,3.309469,3.356747,1.179187,1541939
1980-04-09,3.356747,3.404025,3.340988,3.404025,1.195795,1344438
1980-04-10,3.404025,3.414531,3.362000,3.372506,1.184723,842356
1980-04-11,3.372506,3.393519,3.325228,3.346241,1.175496,663891
1980-04-14,3.335734,3.335734,3.283203,3.298963,1.158888,433076
1980-04-15,3.298963,3.351494,3.298963,3.309469,1.162578,628198
1980-04-16,3.309469,3.356747,3.251684,3.256938,1.144125,1368233
1980-04-17,3.220166,3.220166,3.025800,3.083584,1.083228,6688876
1980-04-18,3.083584,3.151875,3.062572,3.067825,1.077692,1325402
1980-04-21,3.067825,3.088838,2.994281,2.994281,1.051858,694825
1980-04-22,3.046813,3.204406,3.046813,3.204406,1.125672,1299227
1980-04-23,3.214913,3.267444,3.214913,3.230672,1.134898,1123141
1980-04-24,3.172888,3.172888,3.067825,3.136116,1.101682,2253421
1980-04-25,3.136116,3.246431,3.046813,3.225419,1.133052,2051160
1980-04-28,3.225419,3.230672,3.130863,3.136116,1.101682,1303986
1980-04-29,3.136116,3.162381,3.120356,3.136116,1.101682,561570
1980-04-30,3.136116,3.141369,3.073078,3.141369,1.103528,1039857
1980-05-01,3.141369,3.167634,3.088838,3.109850,1.092455,737656
1980-05-02,3.109850,3.183394,3.109850,3.183394,1.118290,537775
1980-05-05,3.183394,3.214913,3.167634,3.172888,1.114600,1016062
1980-05-06,3.172888,3.235925,3.172888,3.204406,1.125672,1118382
1980-05-07,3.204406,3.272697,3.204406,3.272697,1.149662,806663
1980-05-08,3.277950,3.319975,3.277950,3.277950,1.151507,606782
1980-05-09,3.277950,3.277950,3.230672,3.251684,1.142280,975610
1980-05-12,3.298963,3.298963,3.204406,3.267444,1.147816,797145
1980-05-13,3.267444,3.340988,3.256938,3.277950,1.151507,729328
1980-05-14,3.277950,3.309469,3.214913,3.235925,1.136743,976800
1980-05-15,3.235925,3.246431,3.183394,3.193900,1.121981,510410
1980-05-16,3.193900,3.214913,3.183394,3.193900,1.121981,372397
1980-05-19,3.193900,3.214913,3.172888,3.204406,1.125672,267698
1980-05-20,3.204406,3.246431,3.162381,3.214913,1.129363,535396
1980-05-21,3.214913,3.267444,3.183394,3.235925,1.136743,487805
1980-05-22,3.246431,3.340988,3.246431,3.309469,1.162578,780488
1980-05-23,3.362000,3.572125,3.362000,3.530100,1.240084,1331350
1980-05-27,3.656175,3.708706,3.656175,3.666681,1.288063,1588340
1980-05-28,3.666681,3.687694,3.614150,3.687694,1.295445,513980
1980-05-29,3.635163,3.635163,3.456556,3.519594,1.236394,559191
1980-05-30,3.519594,3.593138,3.425038,3.593138,1.262228,856633
1980-06-02,3.593138,3.624656,3.551113,3.572125,1.254847,552052
1980-06-03,3.572125,3.572125,3.467063,3.509088,1.232703,919691
1980-06-04,3.519594,3.687694,3.519594,3.656175,1.284373,1587151
1980-06-05,3.656175,3.803263,3.645669,3.698200,1.309673,1794170
1980-06-06,3.698200,3.698200,3.656175,3.656175,1.294791,396193
1980-06-09,3.656175,3.729719,3.645669,3.645669,1.291070,649613
1980-06-10,3.677188,3.708706,3.677188,3.687694,1.305953,415229
1980-06-11,3.687694,3.750731,3.666681,3.740225,1.324556,1057704
1980-06-12,3.740225,3.792756,3.740225,3.761238,1.331998,2533016
