Date,Open,High,Low,Close,Adj Close,Volume
1973-05-03,18.833332,19.333332,18.458332,19.083332,1.352967,116700
1973-05-04,19.583332,19.958332,19.583332,19.666668,1.394323,256800
1973-05-07,19.666668,19.708332,19.541668,19.583332,1.388415,55800
1973-05-08,19.583332,19.583332,19.416668,19.583332,1.388415,80100
1973-05-09,19.583332,19.791668,19.541668,19.666668,1.394323,66900
1973-05-10,19.666668,19.666668,19.416668,19.416668,1.376599,61800
1973-05-11,19.416668,19.416668,18.916668,19.166668,1.358875,76500
1973-05-14,18.916668,18.916668,18.666668,18.875000,1.338196,46200
1973-05-15,18.875000,19.083332,18.666668,19.083332,1.352967,90300
1973-05-16,19.083332,19.291668,19.083332,19.291668,1.367736,39900
1973-05-17,19.291668,19.333332,19.041668,19.291668,1.367736,56100
1973-05-18,19.250000,19.250000,18.875000,19.166668,1.358875,85200
1973-05-21,19.083332,19.083332,18.791668,18.833332,1.335241,138300
1973-05-22,18.875000,19.083332,18.875000,18.875000,1.338196,51300
1973-05-23,18.916668,19.208332,18.916668,19.166668,1.358875,91500
1973-05-24,19.166668,19.625000,19.166668,19.625000,1.391368,45300
1973-05-25,19.666668,20.083332,19.666668,19.958332,1.415002,82800
1973-05-29,19.833332,19.833332,19.333332,19.333332,1.370690,25500
1973-05-30,19.333332,19.333332,19.208332,19.291668,1.367736,16800
1973-05-31,19.166668,19.166668,18.833332,18.833332,1.335241,82800
1973-06-01,18.833332,19.166668,18.708332,18.958332,1.344104,70800
1973-06-04,18.958332,19.000000,18.833332,18.833332,1.335241,31800
1973-06-05,18.833332,19.166668,18.708332,18.916668,1.341151,85500
1973-06-06,18.916668,19.083332,18.833332,18.833332,1.335241,27000
1973-06-07,18.875000,19.166668,18.875000,19.000000,1.347058,47100
1973-06-08,19.083332,19.541668,19.083332,19.541668,1.385461,83400
1973-06-11,19.666668,19.916668,19.666668,19.833332,1.406140,39600
1973-06-12,19.833332,20.083332,19.708332,20.083332,1.423864,144600
1973-06-13,20.083332,20.291668,19.625000,19.833332,1.406140,80400
1973-06-14,19.791668,19.791668,19.666668,19.791668,1.403185,138900
1973-06-15,19.708332,19.708332,19.583332,19.666668,1.394323,26400
1973-06-18,19.666668,19.666668,19.166668,19.250000,1.364782,131400
1973-06-19,19.250000,19.458332,18.958332,19.291668,1.367736,88800
1973-06-20,19.291668,19.333332,19.083332,19.333332,1.370690,91200
1973-06-21,19.333332,19.333332,19.166668,19.250000,1.364782,118200
1973-06-22,19.250000,19.666668,19.166668,19.166668,1.358875,43500
1973-06-25,19.166668,19.291668,19.083332,19.083332,1.352967,16800
1973-06-26,19.083332,19.250000,19.000000,19.250000,1.364782,18900
1973-06-27,19.250000,19.291668,19.000000,19.250000,1.364782,86400
1973-06-28,19.333332,19.583332,19.333332,19.583332,1.388415,21900
1973-06-29,19.583332,19.625000,19.416668,19.583332,1.388415,75300
1973-07-02,19.583332,19.666668,19.458332,19.625000,1.391368,39300
1973-07-03,19.625000,20.041668,19.625000,20.000000,1.417955,63000
